P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S00	S05	S10	0.00990772	0.569914	0.568736	0.000527795	11516.5	4829	4734.25
S00	S05	S11	0.0102578	0.552994	0.580268	0.000500512	15175.8	4250.31	4164
S05	S00	S12	0.51242	18.3045	2.3e-16	0.0154846	31074.5	4231.75	1364.25
S05	S00	S13	0.547727	29.429	2.3e-16	0.0159291	30564.8	4558.25	1332
S14	S00	S05	0.915391	290.574	2.3e-16	0.124118	27830.9	25796.2	1139.5
S05	S00	S15	0.5555	31.4953	2.3e-16	0.0165047	30550.5	4661.25	1332
S05	S00	S16	0.558401	32.1431	2.3e-16	0.0166477	30534	4686.5	1328
S00	S05	S17	0.00633619	0.199862	0.841588	8.29801e-05	33468.5	1350	1333
S00	S05	S18	0.00948837	0.291748	0.77048	0.000124367	33453	1356.5	1331
S00	S05	S19	0.00892857	0.274746	0.783511	0.000116838	33452.5	1356	1332
S06	S07	S00	0.109788	1.58378	0.113244	0.000240573	70054.2	209.75	168.25
S06	S08	S00	0.00856913	0.508157	0.611344	0.000278253	19873.6	2824.75	2776.75
S00	S06	S09	0.00304176	0.219794	0.826032	0.000160325	11451.5	4740.25	4711.5
S00	S06	S10	0.00747353	0.519174	0.603639	0.000394106	11424.5	4768.75	4698
S00	S06	S11	0.0079038	0.505115	0.613478	0.000381636	15086.4	4196.25	4130.44
S06	S00	S12	0.510466	17.1296	2.3e-16	0.0152795	30972.5	4185.5	1356.5
S06	S00	S13	0.553812	27.5479	2.3e-16	0.01603	30505.8	4555	1308
S14	S00	S06	0.916694	315.935	2.3e-16	0.124417	27847.6	25757.2	1119.5
S06	S00	S15	0.563892	29.072	2.3e-16	0.0166887	30502.5	4669	1302
S06	S00	S16	0.566963	29.681	2.3e-16	0.0168317	30485	4693.25	1297
S00	S06	S17	0.000467683	0.0142933	0.988596	6.10148e-06	33415.5	1337	1335.75
S00	S06	S18	0.00382356	0.11689	0.906947	4.99907e-05	33401.5	1345.5	1335.25
S00	S06	S19	0.00307635	0.0939147	0.925177	4.0163e-05	33401.5	1345	1336.75
S07	S08	S00	0.00116791	0.0794096	0.936707	3.76892e-05	19934.2	2786	2779.5
S00	S07	S09	0.00707229	0.532724	0.594225	0.000372232	11467.2	4752.5	4685.75
S00	S07	S10	0.0116184	0.845369	0.397905	0.000611351	11436.2	4778	4668.25
S00	S07	S11	0.0127511	0.85118	0.39467	0.000614676	15101	4209.5	4103.5
S07	S00	S12	0.508262	16.6485	2.3e-16	0.0152023	31004.5	4176	1361.5
S07	S00	S13	0.5506	27.5579	2.3e-16	0.0159097	30529.5	4537.25	1315
S14	S00	S07	0.916296	333.41	2.3e-16	0.124675	27821.4	25772.5	1125.75
S07	S00	S15	0.561166	29.3605	2.3e-16	0.0165827	30528.2	4653.25	1308
S07	S00	S16	0.563728	29.9797	2.3e-16	0.016716	30510.8	4677.5	1305
S00	S07	S17	0.00526712	0.159589	0.873205	6.83366e-05	33443.2	1336	1322
S00	S07	S18	0.00843803	0.257933	0.796458	0.000109736	33429.8	1344.5	1322
S00	S07	S19	0.00787402	0.240338	0.810068	0.000102233	33429.2	1344	1323
S00	S08	S09	0.0181704	0.993006	0.320707	0.000971708	11495.8	4882	4707.75
S00	S08	S10	0.021261	1.13892	0.254735	0.00113218	11452.8	4881.5	4678.25
S00	S08	S11	0.0211585	1.05982	0.289227	0.00102784	15104	4277.25	4100
S08	S00	S12	0.525808	20.9765	2.3e-16	0.0157287	31062.2	4227.25	1313.75
S08	S00	S13	0.562798	32.0373	2.3e-16	0.0163214	30590.2	4591.5	1284.5
S14	S00	S08	0.920137	278.544	2.3e-16	0.125458	27864.3	25821.9	1074
S08	S00	S15	0.574751	34.4703	2.3e-16	0.0168983	30553	4671.5	1261.5
S08	S00	S16	0.577881	34.8049	2.3e-16	0.0170363	30533.8	4694	1255.75
S08	S00	S17	0.0253511	0.809841	0.418031	0.000328152	33487.8	1360	1292.75
S08	S00	S18	0.0193937	0.619144	0.535822	0.00025111	33467.8	1353.5	1302
S08	S00	S19	0.0201393	0.642373	0.520631	0.000260383	33467.8	1355	1301.5
S09	S10	S00	0.0100859	0.362586	0.716915	7.53161e-05	49068.9	676	662.5
S11	S09	S00	0.696802	53.3832	2.3e-16	0.0229804	39795.8	5133.25	917.25
S09	S00	S12	0.505033	20.9016	2.3e-16	0.019129	25345	5298	1742.38
S09	S00	S13	0.546527	28.0027	2.3e-16	0.0199912	24963.2	5752.5	1686.75
S14	S00	S09	0.870951	136.883	2.3e-16	0.0983885	29848.9	21018.5	1449.75
S09	S00	S15	0.5504	30.0013	2.3e-16	0.020443	24924.8	5831.25	1691
S09	S00	S16	0.552957	29.6558	2.3e-16	0.0206008	24911.2	5859.5	1686.75
S09	S00	S17	0.0276785	0.858206	0.390779	0.000509824	27279.8	1940	1835.5
S09	S00	S18	0.028277	0.898686	0.36882	0.000521582	27271.8	1945.5	1838.5
S09	S00	S19	0.028662	0.905224	0.365347	0.000527926	27271.8	1947	1838.5
S11	S10	S00	0.81509	83.1097	2.3e-16	0.023054	58244	4709.25	479.75
S10	S00	S12	0.506085	20.4149	2.3e-16	0.0190743	25335.8	5275.25	1730
S10	S00	S13	0.548071	32.1522	2.3e-16	0.0199647	24958.5	5734.25	1674
S14	S00	S10	0.871152	156.603	2.3e-16	0.0982812	29830.4	21013.5	1447
S10	S00	S15	0.553768	33.7384	2.3e-16	0.0204805	24926.2	5819.25	1671.25
S10	S00	S16	0.55631	33.4832	2.3e-16	0.020637	24912.5	5847.25	1667
S10	S00	S17	0.0233307	0.682304	0.495047	0.000424483	27261.2	1908	1821
S10	S00	S18	0.0247425	0.744791	0.456398	0.000450932	27255.2	1915.5	1823
S10	S00	S19	0.0251337	0.751785	0.45218	0.000457406	27255.2	1917	1823
S00	S11	S12	0.0401477	1.12383	0.261084	0.00257933	21452.4	6091.62	5621.38
S11	S00	S13	0.156218	7.08651	1.37534e-12	0.0084292	21264.8	6270.06	4575.75
S14	S00	S11	0.640169	48.6473	2.3e-16	0.0747807	30902.4	17856.1	3917.38
S11	S00	S15	0.161277	7.16178	7.96474e-13	0.00878832	21210.1	6332.62	4573.69
S11	S00	S16	0.163141	7.39432	1.42109e-13	0.00889811	21184.9	6349.19	4568.12
S00	S11	S17	0.806653	59.5444	2.3e-16	0.066032	22745	15149.1	1621.25
