P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S00	S05	S13	0.0286579	1.58119	0.113835	0.000787205	20127.8	2889.5	2728.5
S00	S05	S14	0.0264329	1.51667	0.129351	0.000726355	20147	2883.25	2734.75
S00	S05	S15	0.027451	1.58774	0.112344	0.000752132	20138	2882	2728
S00	S05	S16	0.0260157	1.47644	0.139825	0.000706475	20147.5	2879	2733
S00	S05	S17	0.0276145	1.56474	0.117644	0.000759861	20143.8	2884	2729
S00	S05	S18	0.0274412	1.5568	0.119517	0.000752455	20142	2883	2729
S00	S05	S19	0.0274412	1.5568	0.119517	0.00075289	20140.5	2883	2729
S06	S07	S00	0.310345	1.91015	0.0561138	4.80925e-05	123949	19	10
S00	S06	S08	0.00694475	0.359326	0.719351	0.000191244	20082.5	2845.5	2806.25
S00	S06	S09	0.0177265	0.801535	0.422822	0.000481554	20160	2834.75	2736
S00	S06	S10	0.00777398	0.392204	0.694908	0.000212762	20044	2835.75	2792
S00	S06	S11	0.0209531	0.974426	0.329845	0.000578189	20178.2	2887	2768.5
S00	S06	S12	0.0143955	0.883198	0.377129	0.000395842	20172.2	2871.5	2790
S00	S06	S13	0.0270511	1.50555	0.132183	0.0007432	20117.5	2885.5	2733.5
S00	S06	S14	0.0248265	1.43725	0.150646	0.000682334	20136.8	2879.25	2739.75
S00	S06	S15	0.0258421	1.50767	0.13164	0.000708177	20127.8	2878	2733
S00	S06	S16	0.0244076	1.39757	0.162241	0.000662925	20137.2	2875	2738
S00	S06	S17	0.0260064	1.48688	0.137046	0.00071574	20133.5	2880	2734
S00	S06	S18	0.0258329	1.47885	0.139181	0.000708481	20131.8	2879	2734
S00	S06	S19	0.0258329	1.47885	0.139181	0.00070889	20130.2	2879	2734
S00	S07	S08	0.0076525	0.401065	0.688372	0.000210734	20089.5	2847.5	2804.25
S00	S07	S09	0.0187968	0.86141	0.389012	0.000510813	20167	2838.75	2734
S00	S07	S10	0.00848474	0.431419	0.666163	0.000232215	20051	2837.75	2790
S00	S07	S11	0.0221869	1.03065	0.302705	0.000612344	20184.2	2891	2765.5
S00	S07	S12	0.0154553	0.946103	0.344096	0.000424983	20178.2	2874.5	2787
S00	S07	S13	0.0281089	1.56442	0.11772	0.000772536	20124.5	2889.5	2731.5
S00	S07	S14	0.0258851	1.49912	0.133843	0.000711681	20143.8	2883.25	2737.75
S00	S07	S15	0.0269018	1.57056	0.116285	0.00073748	20134.8	2882	2731
S00	S07	S16	0.0254675	1.45945	0.144441	0.000691958	20144.2	2879	2736
S00	S07	S17	0.0270655	1.54876	0.121439	0.000745154	20140.5	2884	2732
S00	S07	S18	0.0268923	1.54077	0.123373	0.000737797	20138.8	2883	2732
S00	S07	S19	0.0268923	1.54077	0.123373	0.000738223	20137.2	2883	2732
S09	S08	S00	0.0583588	2.12733	0.0333923	0.000722272	34156.8	1339.75	1192
S08	S10	S00	0.00969128	0.351202	0.725437	0.000118631	34348.6	1263.25	1239
S11	S08	S00	0.0204896	1.13149	0.257847	0.000652656	17587.5	3324.5	3191
S12	S08	S00	0.0161733	1.00149	0.316588	0.000518284	17582.2	3330	3224
S13	S08	S00	0.0167633	0.890684	0.373098	0.000526836	17621.2	3267.75	3160
S14	S08	S00	0.0188062	1.0441	0.296437	0.000590361	17615.8	3270.75	3150
S15	S08	S00	0.0184579	1.04384	0.29656	0.000579367	17626.2	3269.25	3150.75
S16	S08	S00	0.0191903	1.04576	0.29567	0.000601355	17625.5	3266.25	3143.25
S17	S08	S00	0.0191866	1.05845	0.289851	0.000602576	17618	3273.5	3150.25
S18	S08	S00	0.0189193	1.05008	0.293683	0.000594025	17618.5	3271.75	3150.25
S19	S08	S00	0.0186901	1.03748	0.29951	0.000586696	17618.2	3270.25	3150.25
S09	S10	S00	0.0700326	4.84352	1.27562e-06	0.000840817	34333.5	1314	1142
S09	S11	S00	0.00220324	0.112289	0.910595	6.96607e-05	17621.5	3241	3226.75
S09	S12	S00	0.00639969	0.437004	0.662108	0.000204094	17619	3282.75	3241
S09	S13	S00	0.0062315	0.367619	0.713158	0.000195539	17654.2	3229.5	3189.5
S09	S14	S00	0.00421217	0.254409	0.799179	0.000131989	17644.8	3218.5	3191.5
S09	S15	S00	0.00456372	0.280347	0.779211	0.000142988	17645.5	3219.25	3190
S09	S16	S00	0.00386432	0.22935	0.818597	0.00012099	17645.8	3214.75	3190
S09	S17	S00	0.00382156	0.230956	0.817349	0.000119768	17645	3217.75	3193.25
S09	S18	S00	0.00409692	0.248688	0.803602	0.000128322	17646.5	3216.75	3190.5
S09	S19	S00	0.00433069	0.262214	0.793156	0.000135655	17645.5	3217.75	3190
S11	S10	S00	0.0243601	1.21145	0.225723	0.00077121	17615.2	3316.75	3159
S12	S10	S00	0.0200084	1.43728	0.150637	0.000636853	17724.2	3320	3189.75
S13	S10	S00	0.0208366	1.17708	0.239165	0.000645404	17759	3233.5	3101.5
S14	S10	S00	0.0228707	1.35654	0.174926	0.000708922	17751.5	3242.5	3097.5
S15	S10	S00	0.0225327	1.35516	0.175367	0.000697929	17757.2	3239	3096.25
S16	S10	S00	0.0232668	1.34921	0.177269	0.000719914	17764.5	3238	3090.75
S17	S10	S00	0.0232981	1.37368	0.169541	0.000721136	17752.8	3239.25	3091.75
S18	S10	S00	0.023028	1.36067	0.173619	0.000712586	17755.2	3237.5	3091.75
S19	S10	S00	0.0227892	1.34376	0.179027	0.000705258	17754	3237	3092.75
S11	S12	S00	0.00649888	0.249886	0.802675	0.000134442	25315.2	2129.5	2102
S11	S13	S00	0.00616951	0.260246	0.794674	0.000125887	25286.8	2099.75	2074
S11	S14	S00	0.00304314	0.133813	0.89355	6.23323e-05	25304	2101.25	2088.5
S11	S15	S00	0.00357143	0.158151	0.874338	7.33322e-05	25305.8	2107.5	2092.5
S11	S16	S00	0.0024997	0.108513	0.913588	5.13325e-05	25323.2	2105.5	2095
S11	S17	S00	0.00244033	0.106325	0.915324	5.01103e-05	25318.2	2105.25	2095
S11	S18	S00	0.00286055	0.125235	0.900337	5.86657e-05	25315.2	2103.5	2091.5
S11	S19	S00	0.00321927	0.140759	0.88806	6.5999e-05	25316	2103.5	2090
S13	S12	S00	0.00166627	0.0381527	0.969566	8.5565e-06	51275.5	526	524.25
S14	S12	S00	0.0144219	0.329689	0.741635	7.21145e-05	51335.2	518.75	504
S15	S12	S00	0.0120598	0.296474	0.766868	6.11146e-05	51267.5	524.5	512
S16	S12	S00	0.0163619	0.371124	0.710545	8.31141e-05	51302.5	528	511
S17	S12	S00	0.0166065	0.383224	0.701553	8.43362e-05	51279	528	510.75
S18	S12	S00	0.0149976	0.344226	0.730676	7.5781e-05	51272.8	524.5	509
S19	S12	S00	0.0135397	0.309288	0.757102	6.84479e-05	51267	524	510
S14	S13	S00	0.074928	0.958481	0.33782	6.35585e-05	88276.2	93.25	80.25
S15	S13	S00	0.0670827	0.749931	0.453296	5.25586e-05	88233	85.5	74.75
S16	S13	S00	0.0976	1.37532	0.169032	7.45582e-05	88297	85.75	70.5
S17	S13	S00	0.0919881	1.31818	0.187442	7.57804e-05	88248	92	76.5
S18	S13	S00	0.0819672	1.2008	0.229828	6.72251e-05	88162	90.75	77
S19	S13	S00	0.0732436	1.07463	0.28254	5.98919e-05	88154.2	89.75	77.5
S14	S15	S00	0.0520231	0.27684	0.781903	1.10005e-05	112610	22.75	20.5
S16	S14	S00	0.0514286	0.275543	0.782899	1.10004e-05	112645	23	20.75
S17	S14	S00	0.0510204	0.307171	0.758713	1.22226e-05	112500	25.75	23.25
S18	S14	S00	0.0162162	0.0891477	0.928965	3.66682e-06	112415	23.5	22.75
S14	S19	S00	0.0163934	0.091377	0.927193	3.66684e-06	112404	23.25	22.5
S16	S15	S00	0.0857143	0.478233	0.632484	2.20008e-05	115326	28.5	24
S17	S15	S00	0.125828	0.652974	0.513773	2.3223e-05	115039	21.25	16.5
S18	S15	S00	0.0731707	0.38772	0.698223	1.46673e-05	114981	22	19
S19	S15	S00	0.0352941	0.184669	0.853489	7.3337e-06	114989	22	20.5
S17	S16	S00	0.00621118	0.0308167	0.975416	1.22226e-06	117880	20.25	20
S16	S18	S00	0.0361446	0.183859	0.854124	7.33359e-06	117858	21.5	20
S16	S19	S00	0.0731707	0.376024	0.706899	1.46672e-05	117877	22	19
S17	S18	S00	0.333333	3.01176e-314	nan	8.55585e-06	151832	3.5	1.75
S17	S19	S00	0.481481	0.98282	0.325696	1.58894e-05	151947	5	1.75
S18	S19	S00	1	3.01176e-314	nan	7.33365e-06	179922	1.5	0
S01	S02	S03	0.0315904	0.634294	0.525889	7.75994e-05	67149.8	236.75	222.25
S01	S02	S04	0.039173	0.754874	0.450325	9.62974e-05	67154.5	238.75	220.75
S01	S02	S05	0.0369164	0.740553	0.458964	9.08638e-05	67117.5	238.75	221.75
S01	S02	S06	0.0369164	0.740553	0.458964	9.10156e-05	67132.8	238.75	221.75
S01	S02	S07	0.0369164	0.740553	0.458964	9.07942e-05	67129.8	238.75	221.75
S01	S02	S08	0.11828	0.991771	0.321309	0.000107243	84165.5	104	82
S01	S02	S09	0.053701	0.422821	0.672426	4.51313e-05	84298.5	90.75	81.5
S01	S02	S10	0.0733138	0.600699	0.54804	6.08247e-05	84111.8	91.5	79
S01	S02	S11	0.115438	1.16224	0.245137	0.000101275	84327	100.25	79.5
S01	S02	S12	0.108071	1.16795	0.242827	9.5969e-05	84269.5	101.25	81.5
S01	S02	S13	0.0871369	0.947702	0.343281	7.7049e-05	84261.2	98.25	82.5
S01	S02	S14	0.0811554	0.881833	0.377867	7.21851e-05	84271.2	98.25	83.5
S01	S02	S15	0.0820584	0.889752	0.373599	7.20771e-05	84269	97.25	82.5
S01	S02	S16	0.0760719	0.828523	0.407375	6.65701e-05	84272.5	97.25	83.5
S01	S02	S17	0.0820584	0.889752	0.373599	7.23479e-05	84273.8	97.25	82.5
S01	S02	S18	0.0820584	0.889752	0.373599	7.21075e-05	84273	97.25	82.5
S01	S02	S19	0.0820584	0.889752	0.373599	7.21492e-05	84271.5	97.25	82.5
S04	S03	S01	0.00378158	0.0954566	0.923952	3.33593e-05	41947.5	829.5	823.25
S03	S05	S01	0.019257	0.479504	0.63158	0.000169471	41923.5	840.25	808.5
S03	S06	S01	0.00997883	0.249104	0.803281	8.80713e-05	41936.5	835	818.5
S03	S07	S01	0.011811	0.296054	0.767189	0.000104084	41967.2	835.25	815.75
S03	S01	S08	0.0134752	0.734795	0.462464	0.000370339	20014	2858	2782
S03	S01	S09	0.00266233	0.13017	0.896432	7.19609e-05	20067	2777.5	2762.75
S03	S01	S10	0.0176707	0.955511	0.339319	0.0004815	19956	2850.75	2751.75
S01	S03	S11	0.0100252	0.512985	0.607962	0.000276981	20122	2858.75	2802
S03	S01	S12	0.00144972	0.0822205	0.934471	4.00867e-05	20110	2849.5	2841.25
S01	S03	S13	0.00729411	0.385775	0.699664	0.000201795	20058.2	2848.25	2807
S01	S03	S14	0.00553269	0.293372	0.769238	0.000152935	20068.8	2839.75	2808.5
S01	S03	S15	0.00660081	0.358672	0.719841	0.000182025	20062	2840.25	2803
S01	S03	S16	0.00465322	0.246716	0.805128	0.000127088	20069	2833.75	2807.5
S01	S03	S17	0.00642588	0.341722	0.73256	0.000177804	20066.2	2838.75	2802.5
S01	S03	S18	0.00642816	0.342695	0.731828	0.000177213	20064.5	2837.75	2801.5
S01	S03	S19	0.00642816	0.342695	0.731828	0.000177316	20063	2837.75	2801.5
S04	S05	S01	0.120635	1.66231	0.0964507	0.000202825	74770.4	176.5	138.5
S04	S06	S01	0.0723946	1.09642	0.272895	0.000121428	74782.5	168.5	145.75
S04	S07	S01	0.0819411	1.19979	0.230221	0.00013744	74776.4	170	144.25
S04	S01	S08	0.00529101	0.269809	0.787307	0.000146219	19999.8	2850	2820
S01	S04	S09	0.00292306	0.133714	0.893629	7.92847e-05	20054.8	2787.75	2771.5
S04	S01	S10	0.0101162	0.530512	0.595757	0.000277284	19944.8	2845.75	2788.75
S01	S04	S11	0.0127749	0.626088	0.531257	0.000355073	20124.8	2883.75	2811
S04	S01	S12	4.38539e-05	0.00227666	0.998183	1.2148e-06	20104.8	2850.5	2850.25
S01	S04	S13	0.0106482	0.513874	0.60734	0.000294743	20044	2859.25	2799
S01	S04	S14	0.00755935	0.370154	0.711267	0.000209215	20060.2	2849	2806.25
S01	S04	S15	0.00872106	0.434767	0.663731	0.000240664	20051.8	2848.25	2799
S01	S04	S16	0.00677321	0.33084	0.740765	0.000185186	20059.8	2842.75	2804.5
S01	S04	S17	0.00871951	0.42596	0.670137	0.000241568	20057	2848.75	2799.5
S01	S04	S18	0.0087226	0.426995	0.669383	0.000240766	20055.2	2847.75	2798.5
S01	S04	S19	0.0087226	0.426995	0.669383	0.000240905	20053.8	2847.75	2798.5
S06	S05	S01	0.414966	1.89366	0.0582696	8.14066e-05	120849	26	10.75
S07	S05	S01	0.379845	1.6374	0.101546	6.53933e-05	120650	22.25	10
S05	S01	S08	0.00921659	0.454003	0.649827	0.00025342	20034.8	2847	2795
S05	S01	S09	0.000676743	0.0298075	0.976221	1.82961e-05	20093.8	2772.5	2768.75
S05	S01	S10	0.0130206	0.653109	0.513686	0.00035509	19976.8	2839.75	2766.75
S01	S05	S11	0.0115925	0.556261	0.578033	0.000320908	20154.8	2868.75	2803
S05	S01	S12	0.000748141	0.038693	0.969135	2.06511e-05	20134.8	2842.5	2838.25
